代號,名稱,產業,評分,ROE(%),PE,PB,殖利率(%),負債率(%)
1595,川寶,電子零組件業,10.0,25.95,12.03,0.52,7.08,21.38
6835,圓裕,電子零組件業,9.7,25.45,13.7,1.18,3.86,36.36
3033,威健,電子通路業,9.55,27.71,10.34,0.6,3.36,49.04
2317,鴻海,其他電子業,9.53,25.34,16.42,1.91,4.88,20.57
8070,長華*,電子通路業,9.09,27.35,15.06,3.38,5.54,29.36
6127,九豪,電子零組件業,9.02,21.06,16.64,0.88,2.03,31.22
2478,大毅,電子零組件業,8.99,26.84,15.89,4.7,5.78,25.84
6156,松上,電子零組件業,8.8,24.62,9.52,4.74,3.69,38.64
6279,胡連,電子零組件業,8.77,23.98,5.75,1.55,2.44,28.92
4554,橙的,其他電子業,8.76,23.34,16.87,0.93,3.3,53.51
6194,育富,電子零組件業,8.68,26.0,6.84,0.61,7.81,59.93
8147,正淩,電子零組件業,8.65,26.31,11.1,2.49,1.61,55.97
2059,川湖,電子零組件業,8.64,21.23,17.52,1.98,1.68,35.27
6613,朋億*,其他電子業,8.54,23.92,20.73,2.95,7.76,24.93
3044,健鼎,電子零組件業,8.45,28.3,7.24,4.13,2.57,37.39
4927,泰鼎-KY,電子零組件業,8.36,23.45,8.12,4.38,2.25,34.37
8249,菱光,電子零組件業,8.35,24.91,17.34,3.7,3.27,46.13
6114,久威,電子零組件業,8.23,22.39,12.91,3.71,4.56,44.03
5493,三聯,其他電子業,8.05,26.83,11.39,3.39,3.92,64.45
5228,鈺鎧,電子零組件業,8.01,24.23,21.84,4.35,4.98,34.58
3131,弘塑,其他電子業,7.91,28.18,21.16,3.89,2.37,49.9
3191,雲嘉南,電子零組件業,7.78,20.26,23.4,0.81,5.68,43.05
2373,震旦行,其他電子業,7.78,28.85,17.21,3.74,3.87,64.97
3631,晟楠,電子零組件業,7.69,22.72,14.47,3.52,1.16,67.18
8201,無敵,其他電子業,7.66,20.66,11.85,4.92,7.92,56.54
2484,希華,電子零組件業,7.54,23.71,28.78,1.27,7.23,44.42
1785,光洋科,其他電子業,7.46,19.27,8.46,3.3,4.27,44.28
3528,安馳,電子通路業,7.44,16.8,16.61,2.92,7.18,41.86
3028,增你強,電子通路業,7.37,22.35,32.12,1.34,7.27,22.05
2423,固緯,其他電子業,7.36,20.55,28.57,1.47,2.13,35.31
3285,微端,其他電子業,7.33,26.0,35.99,1.37,2.46,28.32
3609,三一東林,電子零組件業,7.32,18.5,19.94,1.78,4.19,50.51
6210,慶生,電子零組件業,7.29,25.79,23.84,4.66,3.03,58.17
3501,維熹,電子零組件業,7.19,27.45,24.68,4.96,1.09,55.81
6215,和椿,其他電子業,7.14,24.18,30.27,4.03,1.61,21.52
3036,文曄,電子通路業,7.0,16.55,14.85,4.05,1.04,50.56
2312,金寶,其他電子業,6.94,29.66,31.75,2.87,5.33,40.35
3444,利機,電子通路業,6.93,19.46,30.7,1.36,4.89,32.69
6224,聚鼎,電子零組件業,6.84,17.0,19.42,3.16,6.83,44.58
6715,嘉基,電子零組件業,6.69,19.81,7.05,4.13,1.87,60.05
6205,詮欣,電子零組件業,6.55,18.22,6.01,2.49,2.58,60.68
3388,崇越電,電子零組件業,6.47,15.11,11.6,3.75,5.12,61.14
8084,巨虹,電子通路業,6.4,25.73,38.77,2.02,5.51,33.71
6584,南俊國際,電子零組件業,6.4,17.81,21.65,2.68,4.61,65.22
3207,耀勝,電子零組件業,6.31,15.34,25.36,3.27,6.22,24.7
8032,光菱,電子通路業,6.11,21.77,31.89,3.4,6.89,40.8
3303,岱稜,其他電子業,5.95,21.69,38.05,2.16,5.42,34.56
3552,同致,其他電子業,5.56,18.4,34.41,4.32,2.33,37.1
3310,佳穎,電子零組件業,5.54,20.6,30.05,4.23,3.95,62.23
6113,亞矽,電子通路業,5.32,15.32,29.81,3.56,2.03,46.56
6743,安普新,其他電子業,5.27,21.95,36.63,4.41,7.08,55.29
3354,律勝,電子零組件業,5.24,20.18,37.02,2.79,7.18,52.46
3508,位速,其他電子業,5.23,18.5,38.56,4.3,2.25,20.9
6134,萬旭,電子零組件業,5.22,19.04,38.1,3.02,4.1,39.14
8021,尖點,其他電子業,5.2,15.49,33.6,3.06,1.37,30.8
2308,台達電,電子零組件業,4.75,29.36,49.66,10.3,2.43,54.95
6284,佳邦,電子零組件業,4.48,16.24,38.05,1.69,3.97,61.69
